id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total
order_0,user_6993,2025-05-22,Argentina,desktop,organic,Jacket-Winter-M,Moda,2,332.69,0,665.37
order_1,user_1329,2025-06-15,Mexico,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,176.86,5,171.86
order_2,user_3194,2025-05-02,Argentina,desktop,social,Blender-XL-Red,Hogar,2,102.99,10,195.99
order_3,user_4510,2025-06-09,Colombia,mobile,social,Tablet-Standard-64GB,Electronica,1,257.87,15,242.87
order_4,user_5044,2025-03-30,Argentina,desktop,paid_search,Blender-XL-Red,Hogar,1,336.28,0,336.28
order_5,user_2792,2025-04-22,mexico,desktop,organic,Tablet-Standard-64GB,Electronica,1,179.34,0,179.34
order_6,user_2802,2025-03-15,Colombia,mobile,organic,Blender-XL-Red,Hogar,2,163.59,0,327.19
order_7,user_1083,2025-05-01,Mexico,desktop,organic,Tablet-Standard-64GB,Electronica,2,373.68,0,747.35
order_8,user_2352,2025-03-01,Argentina,desktop,paid_search,Laptop-Gaming-16GB,Electronica,2,477.27,5,949.54
order_9,user_7001,2025-05-31,Mexico,mobile,organic,Sneakers-Urban-42,Moda,1,339.3,5,334.3
order_10,user_3960,2025-03-28,Mexico,mobile,organic,Phone-Pro-128GB,Electronica,1,292.14,0,292.14
order_11,user_3547,2025-06-18,Colombia,desktop,social,Phone-Pro-128GB,Electronica,1,231.74,0,231.74
order_12,user_6810,2025-03-17,Colombia,mobile,social,Jacket-Winter-M,Moda,1,499.48,5,494.48
order_13,user_3170,2025-04-10,Colombia,desktop,organic,Jacket-Winter-M,Moda,1,496.94,0,496.94
order_14,user_6516,2025-06-22,Colombia,desktop,social,Vacuum-Pro-Black,Hogar,1,400.92,5,395.92
order_15,user_1500,2025-04-03,Colombia,mobile,organic,Jacket-Winter-M,Moda,2,373.47,0,746.94
order_16,user_3710,2025-02-11,Colombia,mobile,social,Laptop-Gaming-16GB,Electronica,2,355.07,10,700.14
order_17,user_3458,2025-03-14,Mexico,mobile,paid_search,Sneakers-Urban-42,Moda,2,308.41,0,616.82
order_18,user_7316,2025-01-23,Mexico,mobile,social,Phone-Pro-128GB,Electronica,2,180.64,5,356.27
order_19,user_7190,2025-02-03,Argentina,mobile,social,Jacket-Winter-M,Moda,2,45.86,0,91.72
order_20,user_396,2025-02-10,Argentina,mobile,organic,Tablet-Standard-64GB,Electronica,2,489.11,10,968.23
order_21,user_6296,2025-01-26,Mexico,desktop,paid_search,Blender-XL-Red,Hogar,2,203.26,0,406.51
order_22,user_423,2025-05-07,Mexico,desktop,paid_search,Vacuum-Pro-Black,Hogar,2,418.56,0,837.12
order_23,user_3623,2025-02-23,Colombia,desktop,organic,Jacket-Winter-M,Moda,2,487.85,5,970.71
order_24,user_458,2025-01-05,Colombia,,organic,Sneakers-Urban-42,Moda,2,117.99,0,235.99
